day_of_water_year,period,lookup_date,lookup_month
1,1,1-Oct,10
2,1,2-Oct,10
3,1,3-Oct,10
4,1,4-Oct,10
5,1,5-Oct,10
6,1,6-Oct,10
7,1,7-Oct,10
8,1,8-Oct,10
9,1,9-Oct,10
10,1,10-Oct,10
11,1,11-Oct,10
12,1,12-Oct,10
13,1,13-Oct,10
14,1,14-Oct,10
15,2,15-Oct,10
16,2,16-Oct,10
17,2,17-Oct,10
18,2,18-Oct,10
19,2,19-Oct,10
20,2,20-Oct,10
21,2,21-Oct,10
22,2,22-Oct,10
23,2,23-Oct,10
24,2,24-Oct,10
25,2,25-Oct,10
26,2,26-Oct,10
27,2,27-Oct,10
28,2,28-Oct,10
29,2,29-Oct,10
30,2,30-Oct,10
31,2,31-Oct,10
32,3,1-Nov,11
33,3,2-Nov,11
34,3,3-Nov,11
35,3,4-Nov,11
36,3,5-Nov,11
37,3,6-Nov,11
38,3,7-Nov,11
39,3,8-Nov,11
40,3,9-Nov,11
41,3,10-Nov,11
42,3,11-Nov,11
43,3,12-Nov,11
44,3,13-Nov,11
45,3,14-Nov,11
46,4,15-Nov,11
47,4,16-Nov,11
48,4,17-Nov,11
49,4,18-Nov,11
50,4,19-Nov,11
51,4,20-Nov,11
52,4,21-Nov,11
53,4,22-Nov,11
54,4,23-Nov,11
55,4,24-Nov,11
56,4,25-Nov,11
57,4,26-Nov,11
58,4,27-Nov,11
59,4,28-Nov,11
60,4,29-Nov,11
61,4,30-Nov,11
62,5,1-Dec,12
63,5,2-Dec,12
64,5,3-Dec,12
65,5,4-Dec,12
66,5,5-Dec,12
67,5,6-Dec,12
68,5,7-Dec,12
69,5,8-Dec,12
70,5,9-Dec,12
71,5,10-Dec,12
72,5,11-Dec,12
73,5,12-Dec,12
74,5,13-Dec,12
75,5,14-Dec,12
76,6,15-Dec,12
77,6,16-Dec,12
78,6,17-Dec,12
79,6,18-Dec,12
80,6,19-Dec,12
81,6,20-Dec,12
82,6,21-Dec,12
83,6,22-Dec,12
84,6,23-Dec,12
85,6,24-Dec,12
86,6,25-Dec,12
87,6,26-Dec,12
88,6,27-Dec,12
89,6,28-Dec,12
90,6,29-Dec,12
91,6,30-Dec,12
92,6,31-Dec,12
93,7,1-Jan,1
94,7,2-Jan,1
95,7,3-Jan,1
96,7,4-Jan,1
97,7,5-Jan,1
98,7,6-Jan,1
99,7,7-Jan,1
100,7,8-Jan,1
101,7,9-Jan,1
102,7,10-Jan,1
103,7,11-Jan,1
104,7,12-Jan,1
105,7,13-Jan,1
106,7,14-Jan,1
107,8,15-Jan,1
108,8,16-Jan,1
109,8,17-Jan,1
110,8,18-Jan,1
111,8,19-Jan,1
112,8,20-Jan,1
113,8,21-Jan,1
114,8,22-Jan,1
115,8,23-Jan,1
116,8,24-Jan,1
117,8,25-Jan,1
118,8,26-Jan,1
119,8,27-Jan,1
120,8,28-Jan,1
121,8,29-Jan,1
122,8,30-Jan,1
123,8,31-Jan,1
124,9,1-Feb,2
125,9,2-Feb,2
126,9,3-Feb,2
127,9,4-Feb,2
128,9,5-Feb,2
129,9,6-Feb,2
130,9,7-Feb,2
131,9,8-Feb,2
132,9,9-Feb,2
133,9,10-Feb,2
134,9,11-Feb,2
135,9,12-Feb,2
136,9,13-Feb,2
137,9,14-Feb,2
138,10,15-Feb,2
139,10,16-Feb,2
140,10,17-Feb,2
141,10,18-Feb,2
142,10,19-Feb,2
143,10,20-Feb,2
144,10,21-Feb,2
145,10,22-Feb,2
146,10,23-Feb,2
147,10,24-Feb,2
148,10,25-Feb,2
149,10,26-Feb,2
150,10,27-Feb,2
151,10,28-Feb,2
152,11,29-Feb,3
153,11,1-Mar,3
154,11,2-Mar,3
155,11,3-Mar,3
156,11,4-Mar,3
157,11,5-Mar,3
158,11,6-Mar,3
159,11,7-Mar,3
160,11,8-Mar,3
161,11,9-Mar,3
162,11,10-Mar,3
163,11,11-Mar,3
164,11,12-Mar,3
165,11,13-Mar,3
166,12,14-Mar,3
167,12,15-Mar,3
168,12,16-Mar,3
169,12,17-Mar,3
170,12,18-Mar,3
171,12,19-Mar,3
172,12,20-Mar,3
173,12,21-Mar,3
174,12,22-Mar,3
175,12,23-Mar,3
176,12,24-Mar,3
177,12,25-Mar,3
178,12,26-Mar,3
179,12,27-Mar,3
180,12,28-Mar,3
181,12,29-Mar,3
182,12,30-Mar,3
183,13,31-Mar,4
184,13,1-Apr,4
185,13,2-Apr,4
186,13,3-Apr,4
187,13,4-Apr,4
188,13,5-Apr,4
189,13,6-Apr,4
190,13,7-Apr,4
191,13,8-Apr,4
192,13,9-Apr,4
193,13,10-Apr,4
194,13,11-Apr,4
195,13,12-Apr,4
196,13,13-Apr,4
197,14,14-Apr,4
198,14,15-Apr,4
199,14,16-Apr,4
200,14,17-Apr,4
201,14,18-Apr,4
202,14,19-Apr,4
203,14,20-Apr,4
204,14,21-Apr,4
205,14,22-Apr,4
206,14,23-Apr,4
207,14,24-Apr,4
208,14,25-Apr,4
209,14,26-Apr,4
210,14,27-Apr,4
211,14,28-Apr,4
212,14,29-Apr,4
213,15,30-Apr,5
214,15,1-May,5
215,15,2-May,5
216,15,3-May,5
217,15,4-May,5
218,15,5-May,5
219,15,6-May,5
220,15,7-May,5
221,15,8-May,5
222,15,9-May,5
223,15,10-May,5
224,15,11-May,5
225,15,12-May,5
226,15,13-May,5
227,16,14-May,5
228,16,15-May,5
229,16,16-May,5
230,16,17-May,5
231,16,18-May,5
232,16,19-May,5
233,16,20-May,5
234,16,21-May,5
235,16,22-May,5
236,16,23-May,5
237,16,24-May,5
238,16,25-May,5
239,16,26-May,5
240,16,27-May,5
241,16,28-May,5
242,16,29-May,5
243,16,30-May,5
244,17,31-May,6
245,17,1-Jun,6
246,17,2-Jun,6
247,17,3-Jun,6
248,17,4-Jun,6
249,17,5-Jun,6
250,17,6-Jun,6
251,17,7-Jun,6
252,17,8-Jun,6
253,17,9-Jun,6
254,17,10-Jun,6
255,17,11-Jun,6
256,17,12-Jun,6
257,17,13-Jun,6
258,18,14-Jun,6
259,18,15-Jun,6
260,18,16-Jun,6
261,18,17-Jun,6
262,18,18-Jun,6
263,18,19-Jun,6
264,18,20-Jun,6
265,18,21-Jun,6
266,18,22-Jun,6
267,18,23-Jun,6
268,18,24-Jun,6
269,18,25-Jun,6
270,18,26-Jun,6
271,18,27-Jun,6
272,18,28-Jun,6
273,18,29-Jun,6
274,19,30-Jun,7
275,19,1-Jul,7
276,19,2-Jul,7
277,19,3-Jul,7
278,19,4-Jul,7
279,19,5-Jul,7
280,19,6-Jul,7
281,19,7-Jul,7
282,19,8-Jul,7
283,19,9-Jul,7
284,19,10-Jul,7
285,19,11-Jul,7
286,19,12-Jul,7
287,19,13-Jul,7
288,20,14-Jul,7
289,20,15-Jul,7
290,20,16-Jul,7
291,20,17-Jul,7
292,20,18-Jul,7
293,20,19-Jul,7
294,20,20-Jul,7
295,20,21-Jul,7
296,20,22-Jul,7
297,20,23-Jul,7
298,20,24-Jul,7
299,20,25-Jul,7
300,20,26-Jul,7
301,20,27-Jul,7
302,20,28-Jul,7
303,20,29-Jul,7
304,20,30-Jul,7
305,21,31-Jul,8
306,21,1-Aug,8
307,21,2-Aug,8
308,21,3-Aug,8
309,21,4-Aug,8
310,21,5-Aug,8
311,21,6-Aug,8
312,21,7-Aug,8
313,21,8-Aug,8
314,21,9-Aug,8
315,21,10-Aug,8
316,21,11-Aug,8
317,21,12-Aug,8
318,21,13-Aug,8
319,22,14-Aug,8
320,22,15-Aug,8
321,22,16-Aug,8
322,22,17-Aug,8
323,22,18-Aug,8
324,22,19-Aug,8
325,22,20-Aug,8
326,22,21-Aug,8
327,22,22-Aug,8
328,22,23-Aug,8
329,22,24-Aug,8
330,22,25-Aug,8
331,22,26-Aug,8
332,22,27-Aug,8
333,22,28-Aug,8
334,22,29-Aug,8
335,22,30-Aug,8
336,23,31-Aug,9
337,23,1-Sep,9
338,23,2-Sep,9
339,23,3-Sep,9
340,23,4-Sep,9
341,23,5-Sep,9
342,23,6-Sep,9
343,23,7-Sep,9
344,23,8-Sep,9
345,23,9-Sep,9
346,23,10-Sep,9
347,23,11-Sep,9
348,23,12-Sep,9
349,23,13-Sep,9
350,24,14-Sep,9
351,24,15-Sep,9
352,24,16-Sep,9
353,24,17-Sep,9
354,24,18-Sep,9
355,24,19-Sep,9
356,24,20-Sep,9
357,24,21-Sep,9
358,24,22-Sep,9
359,24,23-Sep,9
360,24,24-Sep,9
361,24,25-Sep,9
362,24,26-Sep,9
363,24,27-Sep,9
364,24,28-Sep,9
365,24,29-Sep,9
366,24,30-Sep,9
