day_of_water_year,max_nwi_v20,min_nwi_v20
1,1.25,0.248
2,1.259,0.253
3,1.269,0.261
4,1.277,0.267
5,1.285,0.272
6,1.296,0.278
7,1.306,0.283
8,1.315,0.289
9,1.323,0.296
10,1.334,0.304
11,1.345,0.311
12,1.349,0.318
13,1.358,0.325
14,1.367,0.318
15,1.378,0.311
16,1.341,0.304
17,1.305,0.298
18,1.273,0.296
19,1.24,0.287
20,1.211,0.275
21,1.181,0.263
22,1.15,0.252
23,1.12,0.246
24,1.089,0.242
25,1.057,0.231
26,1.026,0.217
27,0.997,0.207
28,0.969,0.184
29,0.938,0.167
30,0.906,0.154
31,0.874,0.141
32,0.819,0.118
33,0.875,0.127
34,0.923,0.135
35,0.969,0.142
36,1.025,0.149
37,1.082,0.159
38,1.132,0.164
39,1.199,0.165
40,1.342,0.198
41,1.429,0.248
42,1.506,0.332
43,1.661,0.355
44,1.776,0.381
45,1.86,0.411
46,1.937,0.435
47,1.941,0.471
48,1.896,0.506
49,1.876,0.518
50,1.904,0.498
51,1.879,0.463
52,1.845,0.443
53,1.943,0.432
54,2.202,0.424
55,2.204,0.399
56,2.23,0.36
57,2.185,0.363
58,2.126,0.34
59,2.092,0.335
60,2.037,0.292
61,1.993,0.278
62,1.802,0.247
63,1.861,0.259
64,1.914,0.274
65,1.966,0.264
66,2.014,0.251
67,2.06,0.23
68,2.11,0.213
69,2.159,0.197
70,2.21,0.197
71,2.221,0.171
72,2.217,0.144
73,2.214,0.136
74,2.225,0.179
75,2.252,0.196
76,2.282,0.239
77,2.279,0.225
78,2.272,0.289
79,2.265,0.294
80,2.287,0.284
81,2.344,0.295
82,2.343,0.297
83,2.288,0.308
84,2.225,0.338
85,2.272,0.406
86,2.313,0.444
87,2.352,0.447
88,2.437,0.449
89,2.46,0.444
90,2.474,0.412
91,2.493,0.384
92,2.487,0.348
93,2.477,0.34
94,2.397,0.336
95,2.327,0.336
96,2.28,0.331
97,2.229,0.326
98,2.153,0.318
99,2.095,0.326
100,2.041,0.323
101,1.967,0.325
102,1.904,0.33
103,1.846,0.346
104,1.783,0.348
105,1.715,0.334
106,1.641,0.326
107,1.532,0.317
108,1.54,0.316
109,1.547,0.311
110,1.555,0.31
111,1.614,0.315
112,1.642,0.281
113,1.634,0.272
114,1.619,0.262
115,1.683,0.254
116,1.71,0.258
117,1.729,0.247
118,1.734,0.244
119,1.833,0.24
120,1.889,0.229
121,1.884,0.22
122,1.93,0.241
123,1.975,0.25
124,1.948,0.259
125,1.875,0.242
126,1.937,0.223
127,1.921,0.274
128,1.891,0.279
129,1.855,0.27
130,1.82,0.27
131,1.785,0.289
132,1.782,0.291
133,1.784,0.273
134,1.715,0.253
135,1.695,0.241
136,1.665,0.222
137,1.63,0.202
138,1.586,0.183
139,1.582,0.193
140,1.583,0.203
141,1.559,0.203
142,1.613,0.202
143,1.593,0.199
144,1.57,0.203
145,1.532,0.208
146,1.421,0.211
147,1.399,0.212
148,1.363,0.201
149,1.329,0.202
150,1.302,0.193
151,1.263,0.178
152,1.235,0.162
153,1.226,0.153
154,1.216,0.157
155,1.204,0.164
156,1.197,0.157
157,1.19,0.148
158,1.18,0.142
159,1.174,0.14
160,1.169,0.14
161,1.16,0.145
162,1.152,0.144
163,1.145,0.138
164,1.138,0.132
165,1.134,0.13
166,1.128,0.128
167,1.155,0.138
168,1.189,0.137
169,1.22,0.134
170,1.256,0.131
171,1.282,0.126
172,1.309,0.128
173,1.329,0.128
174,1.354,0.126
175,1.372,0.1
176,1.399,0.069
177,1.426,0.059
178,1.453,0.053
179,1.483,0.053
180,1.508,0.054
181,1.542,0.058
182,1.558,0.057
183,1.565,0.058
184,1.566,0.054
185,1.562,0.05
186,1.555,0.047
187,1.549,0.044
188,1.544,0.08
189,1.546,0.078
190,1.535,0.075
191,1.529,0.066
192,1.525,0.062
193,1.516,0.064
194,1.515,0.078
195,1.506,0.103
196,1.5,0.106
197,1.507,0.095
198,1.506,0.096
199,1.511,0.104
200,1.521,0.114
201,1.525,0.13
202,1.529,0.136
203,1.529,0.135
204,1.541,0.136
205,1.555,0.134
206,1.569,0.13
207,1.581,0.129
208,1.591,0.136
209,1.597,0.149
210,1.608,0.154
211,1.62,0.149
212,1.632,0.141
213,1.632,0.132
214,1.654,0.128
215,1.682,0.125
216,1.732,0.12
217,1.764,0.114
218,1.782,0.106
219,1.795,0.106
220,1.819,0.105
221,1.85,0.113
222,1.859,0.111
223,1.88,0.108
224,1.891,0.097
225,1.909,0.088
226,1.935,0.088
227,1.964,0.089
228,1.974,0.1
229,1.968,0.118
230,1.959,0.127
231,1.944,0.109
232,1.926,0.092
233,1.913,0.081
234,1.897,0.073
235,1.869,0.057
236,1.847,0.041
237,1.83,0.033
238,1.804,0.034
239,1.781,0.042
240,1.759,0.046
241,1.736,0.048
242,1.724,0.047
243,1.697,0.045
244,1.679,0.043
245,1.659,0.044
246,1.625,0.043
247,1.587,0.044
248,1.561,0.05
249,1.524,0.039
250,1.498,0.038
251,1.475,0.036
252,1.452,0.035
253,1.43,0.035
254,1.404,0.033
255,1.378,0.035
256,1.356,0.035
257,1.335,0.034
258,1.316,0.034
259,1.305,0.037
260,1.296,0.04
261,1.29,0.044
262,1.299,0.048
263,1.312,0.052
264,1.326,0.057
265,1.34,0.062
266,1.352,0.065
267,1.362,0.069
268,1.383,0.073
269,1.401,0.077
270,1.418,0.082
271,1.438,0.085
272,1.462,0.085
273,1.485,0.087
274,1.514,0.12
275,1.5,0.125
276,1.488,0.13
277,1.475,0.134
278,1.455,0.135
279,1.441,0.131
280,1.428,0.134
281,1.416,0.14
282,1.405,0.144
283,1.391,0.149
284,1.381,0.154
285,1.374,0.159
286,1.357,0.166
287,1.345,0.179
288,1.333,0.196
289,1.326,0.21
290,1.319,0.221
291,1.31,0.226
292,1.299,0.232
293,1.292,0.234
294,1.285,0.234
295,1.278,0.234
296,1.276,0.235
297,1.27,0.236
298,1.273,0.236
299,1.281,0.236
300,1.285,0.234
301,1.29,0.231
302,1.293,0.229
303,1.293,0.226
304,1.292,0.223
305,1.293,0.233
306,1.29,0.24
307,1.283,0.247
308,1.279,0.253
309,1.279,0.258
310,1.281,0.263
311,1.289,0.266
312,1.29,0.273
313,1.297,0.288
314,1.296,0.298
315,1.298,0.303
316,1.326,0.274
317,1.335,0.262
318,1.341,0.258
319,1.346,0.251
320,1.32,0.247
321,1.276,0.234
322,1.248,0.225
323,1.226,0.217
324,1.2,0.209
325,1.165,0.2
326,1.172,0.203
327,1.156,0.154
328,1.134,0.151
329,1.116,0.153
330,1.095,0.151
331,1.067,0.149
332,1.043,0.145
333,1.017,0.143
334,0.993,0.142
335,0.976,0.134
336,0.994,0.128
337,1.007,0.135
338,1.02,0.14
339,1.033,0.146
340,1.047,0.152
341,1.06,0.159
342,1.073,0.165
343,1.087,0.171
344,1.1,0.178
345,1.117,0.184
346,1.137,0.19
347,1.155,0.196
348,1.169,0.202
349,1.183,0.208
350,1.197,0.212
351,1.201,0.217
352,1.203,0.219
353,1.206,0.221
354,1.21,0.226
355,1.213,0.228
356,1.208,0.235
357,1.214,0.242
358,1.218,0.245
359,1.221,0.246
360,1.225,0.247
361,1.23,0.249
362,1.234,0.251
363,1.24,0.252
364,1.249,0.254
365,1.254,0.255
